,,,,
,Texas Medical Association,Yahoo Finance,Nebraska Medicine,Average
Gas Station,2,2,2,2
Tennis Court,2,1,1,1.333333333
Campsite,2,3,2,2.333333333
Grocery Store,3,3,3,3
Park,3.5,4,2,3.166666667
Golf Course,3,3,2,2.666666667
Hotel,4,3,3,3.333333333
Doctor's Office,4,4,1,3
Library,4,3,,3.5
Museum,4,3,,3.5
Restaurant,6.3,6,6.3,6.2
City,4,4,,4
Household,5,5,4,4.666666667
Beach,5,5,,5
Mall,5,5,4.5,4.833333333
School,6,7,6,6.333333333
Office Building,6,4,4,4.666666667
Public Pool,6,7,7,6.666666667
Nursing Home,6,,,6
Hair Salon,7,6,6,6.333333333
Wedding/Funeral,7,,,7
Airport,7,5,5,5.666666667
Basketball Court,7,7,7,7
Football Field,7,,,7
Gym,8,8,8,8
Amusement Park,8,8,8,8
Movie Theater,8,,,8
Concert,9,9,9,9
Sport Stadium,9,8,8,8.333333333
Religious Service,9,8,7,8
Bar,9,9,9,9
Casinos,,6,9,7.5
Lake,,6,6,6
Bowling Alley,,5,,5
Dentist's Office,,4,,4
Delivery/Takeout,2,1,1,1.333333333
Public Transport,,6,6,6
Zoos,,5,5,5
1,1,,,1
2,2,,,2
3,3,,,3
4,4,,,4
5,5,,,5
6,6,,,6
7,7,,,7
8,8,,,8
9,9,,,9